Location,activation,n_l,n_n,p_d,MSE,MAE,Loss STD
Champaign-Urbana,ReLU,3,128,0.2,1.1489e-02,6.0495e-02,7.1617e-05
Champaign-Urbana,Sigmoid,3,128,0.2,1.1800e-02,6.1639e-02,7.0624e-05
Champaign-Urbana,SELU,3,128,0.8,1.7262e-02,7.9259e-02,1.8385e-04
Champaign-Urbana,ReLU,3,128,0.8,1.6418e-02,7.6927e-02,1.1882e-04
Champaign-Urbana,Sigmoid,3,128,0.8,1.6061e-02,7.8218e-02,1.0707e-04
Champaign-Urbana,SELU,3,512,0.2,1.0800e-02,5.8492e-02,4.3593e-05
Champaign-Urbana,ReLU,3,512,0.2,1.0711e-02,5.5007e-02,7.9741e-05
Champaign-Urbana,Sigmoid,3,512,0.2,1.0173e-02,5.5176e-02,3.7293e-05
Champaign-Urbana,SELU,3,512,0.8,1.4041e-02,6.9750e-02,3.5252e-05
Champaign-Urbana,ReLU,3,512,0.8,1.3334e-02,6.6745e-02,4.7376e-05
Champaign-Urbana,Sigmoid,3,512,0.8,1.3579e-02,6.7616e-02,2.8299e-05
Downtown Chicago,SELU,1,32,0.2,2.2594e-02,7.6795e-02,5.9270e-05
Downtown Chicago,ReLU,1,32,0.2,2.2712e-02,7.7467e-02,1.4925e-05
Downtown Chicago,Sigmoid,1,32,0.2,2.2641e-02,7.6986e-02,1.8756e-05
Downtown Chicago,SELU,1,32,0.8,2.2155e-02,7.4592e-02,3.1737e-05
Downtown Chicago,ReLU,1,32,0.8,2.2159e-02,7.4636e-02,2.6531e-05
Downtown Chicago,Sigmoid,1,32,0.8,2.2164e-02,7.4653e-02,2.9465e-05
Downtown Chicago,SELU,1,128,0.2,2.2777e-02,7.7675e-02,2.3016e-05
Downtown Chicago,ReLU,1,128,0.2,2.2936e-02,7.8406e-02,1.5559e-05
Downtown Chicago,Sigmoid,1,128,0.2,2.2757e-02,7.7545e-02,1.0626e-05
Downtown Chicago,SELU,1,128,0.8,2.2301e-02,7.5305e-02,1.3190e-05
Downtown Chicago,ReLU,1,128,0.8,2.2433e-02,7.5947e-02,1.4555e-05
Downtown Chicago,Sigmoid,1,128,0.8,2.2359e-02,7.5610e-02,8.5296e-06
Downtown Chicago,SELU,1,512,0.2,2.2820e-02,7.7799e-02,1.2764e-05
Downtown Chicago,ReLU,1,512,0.2,2.3388e-02,7.9443e-02,3.2336e-05
Downtown Chicago,Sigmoid,1,512,0.2,2.2789e-02,7.7772e-02,1.9621e-05
Downtown Chicago,SELU,1,512,0.8,2.2524e-02,7.6410e-02,7.7040e-06
Downtown Chicago,ReLU,1,512,0.8,2.2693e-02,7.7238e-02,1.5412e-05
Downtown Chicago,Sigmoid,1,512,0.8,2.2531e-02,7.6605e-02,1.5772e-05
Downtown Chicago,SELU,2,32,0.2,2.3183e-02,7.9003e-02,1.0357e-04
Downtown Chicago,ReLU,2,32,0.2,2.2906e-02,7.7773e-02,1.5385e-04
Downtown Chicago,Sigmoid,2,32,0.2,2.3189e-02,7.8671e-02,1.9688e-05
Downtown Chicago,SELU,2,32,0.8,2.2169e-02,7.5433e-02,8.8199e-06
Downtown Chicago,ReLU,2,32,0.8,2.2123e-02,7.6422e-02,4.5100e-05
Downtown Chicago,Sigmoid,2,32,0.8,2.2288e-02,7.5259e-02,9.2205e-06
Downtown Chicago,SELU,2,128,0.2,2.4121e-02,7.9500e-02,6.6378e-05
Downtown Chicago,ReLU,2,128,0.2,2.3907e-02,7.8278e-02,1.2056e-04
Downtown Chicago,Sigmoid,2,128,0.2,2.3479e-02,8.0774e-02,4.5821e-05
Downtown Chicago,SELU,2,128,0.8,2.1672e-02,7.5745e-02,2.6791e-05
Downtown Chicago,ReLU,2,128,0.8,2.1971e-02,7.7919e-02,1.1211e-04
Downtown Chicago,Sigmoid,2,128,0.8,2.1753e-02,7.5366e-02,2.3282e-05
Downtown Chicago,SELU,2,512,0.2,2.4228e-02,7.9607e-02,3.1093e-05
Downtown Chicago,ReLU,2,512,0.2,2.5448e-02,7.9109e-02,1.9007e-04
Downtown Chicago,Sigmoid,2,512,0.2,2.3763e-02,8.1698e-02,8.1837e-05
Downtown Chicago,SELU,2,512,0.8,2.1970e-02,7.6415e-02,3.5379e-05
Downtown Chicago,ReLU,2,512,0.8,2.3217e-02,8.0097e-02,1.1585e-04
Downtown Chicago,Sigmoid,2,512,0.8,2.2215e-02,7.7092e-02,2.0934e-05
Downtown Chicago,SELU,3,32,0.2,2.3691e-02,7.8422e-02,4.2622e-05
Downtown Chicago,ReLU,3,32,0.2,2.4236e-02,8.0330e-02,1.6623e-04
Downtown Chicago,Sigmoid,3,32,0.2,2.4157e-02,7.7854e-02,6.2648e-05
Downtown Chicago,SELU,3,32,0.8,2.1336e-02,7.3250e-02,1.2317e-05
Downtown Chicago,ReLU,3,32,0.8,2.1291e-02,7.4384e-02,4.1826e-05
Downtown Chicago,Sigmoid,3,32,0.8,2.1451e-02,7.3028e-02,1.5702e-05
Downtown Chicago,SELU,3,128,0.2,2.5698e-02,8.1191e-02,6.7973e-05
Downtown Chicago,ReLU,3,128,0.2,2.7916e-02,8.3762e-02,1.6673e-04
Downtown Chicago,Sigmoid,3,128,0.2,2.6261e-02,8.1414e-02,3.8452e-05
Downtown Chicago,SELU,3,128,0.8,2.2705e-02,7.5825e-02,5.1417e-05
Downtown Chicago,ReLU,3,128,0.8,2.2673e-02,7.5919e-02,1.7479e-04
Downtown Chicago,Sigmoid,3,128,0.8,2.3367e-02,7.5505e-02,5.7138e-05
Downtown Chicago,SELU,3,512,0.2,2.6544e-02,8.1962e-02,6.3535e-05
Downtown Chicago,ReLU,3,512,0.2,3.0971e-02,8.6302e-02,1.9172e-04
Downtown Chicago,Sigmoid,3,512,0.2,2.8692e-02,8.4102e-02,1.1456e-04
Downtown Chicago,SELU,3,512,0.8,2.3798e-02,7.9102e-02,5.3673e-05
Downtown Chicago,ReLU,3,512,0.8,2.5124e-02,8.0666e-02,1.2085e-04
Downtown Chicago,Sigmoid,3,512,0.8,2.5273e-02,7.8307e-02,4.3083e-05
Chicago,SELU,1,32,0.2,2.4277e-02,1.0307e-01,8.9622e-05
Chicago,ReLU,1,32,0.2,2.4434e-02,1.0346e-01,4.9778e-05
Chicago,Sigmoid,1,32,0.2,2.4433e-02,1.0341e-01,4.1090e-05
Chicago,SELU,1,32,0.8,2.3644e-02,1.0101e-01,6.1705e-05
Chicago,ReLU,1,32,0.8,2.3472e-02,1.0047e-01,9.0785e-05
Chicago,Sigmoid,1,32,0.8,2.3719e-02,1.0131e-01,2.1077e-05
Chicago,SELU,1,128,0.2,2.4600e-02,1.0392e-01,6.7058e-05
Chicago,ReLU,1,128,0.2,2.4873e-02,1.0450e-01,6.0200e-05
Chicago,Sigmoid,1,128,0.2,2.4668e-02,1.0412e-01,4.7491e-05
Chicago,SELU,1,128,0.8,2.3945e-02,1.0195e-01,2.5386e-05
Chicago,ReLU,1,128,0.8,2.3970e-02,1.0200e-01,5.9724e-05
Chicago,Sigmoid,1,128,0.8,2.4053e-02,1.0242e-01,1.8542e-05
Chicago,SELU,1,512,0.2,2.4622e-02,1.0390e-01,1.7972e-05
Chicago,ReLU,1,512,0.2,2.5540e-02,1.0631e-01,2.9319e-05
Chicago,Sigmoid,1,512,0.2,2.4561e-02,1.0386e-01,4.9372e-05
Chicago,SELU,1,512,0.8,2.4212e-02,1.0287e-01,3.7158e-05
Chicago,ReLU,1,512,0.8,2.4429e-02,1.0333e-01,9.9764e-06
Chicago,Sigmoid,1,512,0.8,2.4225e-02,1.0288e-01,3.5610e-05
Chicago,SELU,2,32,0.2,2.6693e-02,1.0694e-01,8.0857e-05
Chicago,ReLU,2,32,0.2,2.6908e-02,1.0590e-01,2.2174e-04
Chicago,Sigmoid,2,32,0.2,2.6362e-02,1.0685e-01,5.4114e-05
Chicago,SELU,2,32,0.8,2.3679e-02,1.0125e-01,2.2163e-05
Chicago,ReLU,2,32,0.8,2.3829e-02,1.0148e-01,7.9459e-05
Chicago,Sigmoid,2,32,0.8,2.4011e-02,1.0175e-01,5.2460e-06
Chicago,SELU,2,128,0.2,2.9720e-02,1.1153e-01,5.3044e-05
Chicago,ReLU,2,128,0.2,2.9410e-02,1.0988e-01,8.4445e-05
Chicago,Sigmoid,2,128,0.2,2.8387e-02,1.1001e-01,1.1302e-04
Chicago,SELU,2,128,0.8,2.4421e-02,1.0340e-01,7.6963e-05
Chicago,ReLU,2,128,0.8,2.6106e-02,1.0551e-01,1.9650e-04
Chicago,Sigmoid,2,128,0.8,2.4643e-02,1.0348e-01,9.0762e-05
Chicago,SELU,2,512,0.2,2.9661e-02,1.1081e-01,3.0452e-05
Chicago,ReLU,2,512,0.2,3.1140e-02,1.1152e-01,3.8784e-05
Chicago,Sigmoid,2,512,0.2,2.9285e-02,1.1151e-01,4.5495e-05
Chicago,SELU,2,512,0.8,2.6150e-02,1.0595e-01,6.8527e-05
Chicago,ReLU,2,512,0.8,2.8759e-02,1.0915e-01,3.8449e-05
Chicago,Sigmoid,2,512,0.8,2.6291e-02,1.0652e-01,5.7705e-05
Chicago,SELU,3,32,0.2,2.9052e-02,1.0932e-01,9.9097e-05
Chicago,ReLU,3,32,0.2,2.9234e-02,1.0946e-01,1.1705e-04
Chicago,Sigmoid,3,32,0.2,2.9457e-02,1.1018e-01,3.0335e-05
Chicago,SELU,3,32,0.8,2.3929e-02,1.0139e-01,3.4218e-05
Chicago,ReLU,3,32,0.8,2.3913e-02,1.0248e-01,1.9466e-05
Chicago,Sigmoid,3,32,0.8,2.4081e-02,1.0211e-01,1.7753e-05
Chicago,SELU,3,128,0.2,3.0897e-02,1.1193e-01,3.8770e-05
Chicago,ReLU,3,128,0.2,3.1872e-02,1.1319e-01,6.0081e-05
Chicago,Sigmoid,3,128,0.2,3.1517e-02,1.1279e-01,3.3358e-05
Chicago,SELU,3,128,0.8,2.7084e-02,1.0600e-01,5.4636e-05
Chicago,ReLU,3,128,0.8,2.7594e-02,1.0704e-01,4.2290e-05
Chicago,Sigmoid,3,128,0.8,2.7409e-02,1.0688e-01,3.9053e-05
Chicago,SELU,3,512,0.2,3.1539e-02,1.1237e-01,4.1976e-05
Chicago,ReLU,3,512,0.2,3.3794e-02,1.1443e-01,7.3281e-05
